issn,eissn
21683492,21694796
15357414,
0002502X,
07347324,15444538
01456008,15300277
03949826,
00025100,
19800436,
1517106X,
15651525,15533956
14273101,
12123536,
1575734X,15758435
12262617,20930860
22119264,
17263255,
00025232,
19370652,
10053867,
00025240,14208911
14722747,14722739
1386923X,15729079
01784617,14320541
19994893,
17487188,
02692813,
17466334,
09530673,
00656275,
0126012X,2338557X
07358210,
10994831,
00999598,
09714693,
03979148,
03758443,
03234398,
09418849,
03010546,15781267
03445062,
13238930,14401592
10885412,15396304
08381925,
10469354,
17101484,17101492
20927355,20927363
01054538,13989995
01081675,
00025852,
00025917,
03407969,
,
00026018,
02573199,
03010473,
09503110,1473348X
00210927,
13288318,
11219750,
07164254,7182201
22797327,22797335
16642201,
02113589,
13946870,
00026557,
11201908,
05691338,
18750672,
10762809,
03616851,
1037969X,
10814000,
1096942X,
10895159,
10786791,
15223396,
03043754,
12057398,
09467785,
09687769,17411629
02328461,
1475455X,
09558209,
0069634X,
08984093,
07534973,
08930341,15464156
13608495,
15525260,15525279
15253279,
19363001,19366760
19352514,
14616130,
1356918X,
17589193,
00027936,
00845841,
00656755,
21910855,
0102843X,
1414753X,
00447447,
00026980,
13555626,
10946829,
15301567,
09666532,
00027014,
00447471,
00027049,
14052253,
11302887,
18036058,
0002726X,15430375
00027294,03649873
00027316,
03609081,
10739300,15496503
00986097,
00279048,
00027626,
00027642,
00027685,
07493223,
01499408,
00027766,
00941689,
10513558,21538441
05693799,
0149337X,
10413235,
02799529,
15325865,
14743892,14173906
00028088,
01640364,
01634089,
01905279,
00028266,
19457782,19457790
19457731,1945774X
19457707,19457715
19457669,19457685
00028282,
00028312,
10473572,
00940496,
0002838X,15320650
05723612,
00028444,
10803920,15332128
00028541,
10430652,
00028584,
19422962,
00028703,10976744
00028738,
87567296,
00028762,
10768866,
00028770,
0065860X,10857931
08935394,
01616463,
0095182X,15341828
00028894,
0096820X,
00028916,
01462776,
01640178,10863141
00913960,
15574989,
00029092,
08891893,14785498
10825207,
15333175,
00029106,
10784500,
15574555,15574563
15469239,15543641
00029114,
00074764,
10590889,
15533468,
21504210,21504253
15265161,15360075
,21601992
00029122,15372197
11756357,
08877971,
00029149,
,2160200X
11753277,
19415923,
0192415X,
07425929,
11750561,
00029157,
00029165,
02773732,
00029173,
00910562,15732770
0002919X,
1046199X,
10662316,19361351
10623264,
20497121,
01463721,15733262
08948275,
01931091,15330311
01931105,
00029211,
00925640,
1932149X,
0002922X,
08923647,15389286
00952990,10979891
11759038,
2150427X,21504296
00029246,15367150
01956744,15496511
00029238,
1086508X,
07356757,15328171
00029254,
1553345X,
00029262,14766256
10982140,
15574571,1557458X
01957910,1533404X
01631942,
07331290,
00029270,15720241
10767460,
15435946,
10647481,15457214
10873244,
10556699,
08901171,
10792082,
03618609,10968652
19396163,
10499091,
00029289,
10420533,15206300
00029297,15376605
00965294,
08957061,
1553619X,
02713586,10970274
01966553,
15536203,
00029300,
01950282,
02726386,15236838
00988588,
00029319,
15598276,15598284
10880224,
01966324,
00029327,10806377
01487299,
15524868,15524876
15524825,15524833
15524841,1552485X
10628606,
00029343,
15579883,
00029351,
02508095,14219670
2165591X,
01956108,
,21608407
0002936X,
00029378,10976868
02729490,
15429520,
00029394,
00029408,
00937002,
00029416,
08895406,10976752
00966347,
10784519,
00029432,
01960709,1532818X
01929763,
10591494,
10946098,
00029440,15252191
01928562,
07351631,10988785
00029459,
11752203,
15574962,15574970
19454481,
00029475,
00029483,10968644
00029491,
08949115,
00029505,
00029513,
10434046,15221229
03636143,15221563
01931849,15221555
01931857,15221547
03636135,15221539
10400605,15221504
03636119,15221490
03636127,15221466
1931857X,
03636100,
15574539,
00925853,15405907
1099209X,
05696054,
07493797,
02752565,10982345
00029521,
01626566,
15487768,15487776
0002953X,
00029548,15736741
00029556,
00029564,
00900036,15410048
00029572,
10467408,
87558920,16000897
1073449X,15354970
10441549,15354989
11756365,
10506586,15396290
19458924,19458932
0361803X,15463141
00029599,
